#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDK4	CCND1	1844551	1843117	9606.ENSP00000257904	9606.ENSP00000227507	0	0	0	0	0.058	0.976	0.900	0.984	0.999
ANAPC4	ANAPC10	1850076	1849254	9606.ENSP00000318775	9606.ENSP00000310071	0	0	0	0	0.124	0.997	0.900	0.509	0.999
JAK2	STAT5B	1857411	1847405	9606.ENSP00000371067	9606.ENSP00000293328	0	0	0	0	0.105	0.608	0.900	0.975	0.999
RFC3	RFC4	1857148	1847705	9606.ENSP00000369411	9606.ENSP00000296273	0	0	0.283	0.717	0.965	0.991	0.900	0.849	0.999
REV3L	REV1	1853756	1844606	9606.ENSP00000351697	9606.ENSP00000258428	0	0	0	0	0.290	0.975	0.900	0.962	0.999
UBE2B	RAD18	1845728	1845644	9606.ENSP00000265339	9606.ENSP00000264926	0	0	0	0	0	0.993	0.900	0.703	0.999
CDC23	ANAPC13	1858243	1853115	9606.ENSP00000378350	9606.ENSP00000346987	0	0	0	0	0	0.979	0.900	0.666	0.999
CDC16	ANAPC2	1853313	1849673	9606.ENSP00000348554	9606.ENSP00000314004	0	0	0	0	0.154	0.997	0.900	0.778	0.999
PIK3CB	AKT1	1847156	1846136	9606.ENSP00000289153	9606.ENSP00000270202	0	0	0	0	0.094	0.591	0.900	0.990	0.999
MCM7	MCM5	1848945	1842548	9606.ENSP00000307288	9606.ENSP00000216122	0	0	0.484	0.786	0.968	0.989	0.900	0.933	0.999
CDC20	PLK1	1849070	1848135	9606.ENSP00000308450	9606.ENSP00000300093	0	0	0	0	0.952	0.419	0.900	0.889	0.999
RBPJ	NOTCH1	1852908	1846535	9606.ENSP00000345206	9606.ENSP00000277541	0	0	0	0	0.054	0.974	0.900	0.964	0.999
CDC45	CDC6	1860553	1842453	9606.ENSP00000405726	9606.ENSP00000209728	0	0	0	0	0.828	0.668	0.900	0.889	0.999
MCM7	MCM4	1848945	1845065	9606.ENSP00000307288	9606.ENSP00000262105	0	0	0.342	0.802	0.970	0.989	0.900	0.908	0.999
PCNA	FEN1	1856984	1848737	9606.ENSP00000368438	9606.ENSP00000305480	0	0	0	0	0.907	0.997	0.900	0.923	0.999
PCNA	LIG1	1856984	1845325	9606.ENSP00000368438	9606.ENSP00000263274	0	0	0	0	0.546	0.988	0.900	0.918	0.999
CDC45	MCM7	1860553	1848945	9606.ENSP00000405726	9606.ENSP00000307288	0	0	0	0	0.852	0.988	0.900	0.950	0.999
ENO1	TPI1	1843405	1843191	9606.ENSP00000234590	9606.ENSP00000229270	0.309	0	0.211	0	0.960	0.774	0.412	0.761	0.999
MSH2	MLH1	1843341	1843304	9606.ENSP00000233146	9606.ENSP00000231790	0.309	0	0.479	0	0.255	0.810	0.929	0.988	0.999
JUN	FOS	1855436	1848822	9606.ENSP00000360266	9606.ENSP00000306245	0	0	0	0	0.522	0.952	0.900	0.990	0.999
PRKAG1	PRKAB1	1850588	1843198	9606.ENSP00000323867	9606.ENSP00000229328	0	0	0	0	0.094	0.973	0.900	0.912	0.999
FZR1	ANAPC10	1858270	1849254	9606.ENSP00000378529	9606.ENSP00000310071	0	0	0	0	0.096	0.984	0.900	0.584	0.999
CDK2	CCNE1	1845906	1845190	9606.ENSP00000266970	9606.ENSP00000262643	0	0	0	0	0.146	0.983	0.900	0.953	0.999
CDC27	BUB1B	1861977	1847075	9606.ENSP00000434614	9606.ENSP00000287598	0	0	0	0	0.086	0.989	0.900	0.480	0.999
CDC23	ANAPC10	1858243	1849254	9606.ENSP00000378350	9606.ENSP00000310071	0	0	0	0	0.125	0.997	0.900	0.860	0.999
ANAPC4	CDC20	1850076	1849070	9606.ENSP00000318775	9606.ENSP00000308450	0	0	0	0	0.053	0.990	0.900	0.328	0.999
RFC4	RFC2	1847705	1842227	9606.ENSP00000296273	9606.ENSP00000055077	0	0	0.394	0.853	0.762	0.989	0.900	0.875	0.999
ANAPC11	ANAPC4	1853521	1850076	9606.ENSP00000349957	9606.ENSP00000318775	0	0	0	0	0.050	0.989	0.900	0.521	0.999
CDC45	MCM2	1860553	1845676	9606.ENSP00000405726	9606.ENSP00000265056	0	0	0	0	0.828	0.968	0.900	0.925	0.999
CDK2	CCNB1	1845906	1844435	9606.ENSP00000266970	9606.ENSP00000256442	0	0	0	0	0.908	0.975	0.900	0.888	0.999
TIMP2	MMP2	1845213	1842719	9606.ENSP00000262768	9606.ENSP00000219070	0	0	0	0	0.170	0.901	0.900	0.967	0.999
KSR2	MAP2K1	1852274	1848411	9606.ENSP00000339952	9606.ENSP00000302486	0	0	0	0	0.068	0.978	0.900	0.607	0.999
CDC16	CDC20	1853313	1849070	9606.ENSP00000348554	9606.ENSP00000308450	0	0	0	0	0.103	0.988	0.900	0.845	0.999
PCNA	POLD3	1856984	1845392	9606.ENSP00000368438	9606.ENSP00000263681	0	0	0	0	0.169	0.988	0.900	0.823	0.999
FZR1	ANAPC4	1858270	1850076	9606.ENSP00000378529	9606.ENSP00000318775	0	0	0	0	0.053	0.990	0.900	0.296	0.999
ANAPC4	ANAPC5	1850076	1845000	9606.ENSP00000318775	9606.ENSP00000261819	0	0	0	0	0.356	0.997	0.900	0.857	0.999
MCM2	MCM5	1845676	1842548	9606.ENSP00000265056	9606.ENSP00000216122	0	0	0.308	0.798	0.967	0.989	0.900	0.912	0.999
MTOR	RPTOR	1854147	1848942	9606.ENSP00000354558	9606.ENSP00000307272	0	0	0	0	0.464	0.961	0.900	0.958	0.999
SHC1	GRB2	1860266	1852164	9606.ENSP00000401303	9606.ENSP00000339007	0	0	0	0	0.056	0.920	0.900	0.982	0.999
ANAPC1	ANAPC2	1852174	1849673	9606.ENSP00000339109	9606.ENSP00000314004	0	0	0	0	0.177	0.989	0.900	0.609	0.999
CDC16	ANAPC5	1853313	1845000	9606.ENSP00000348554	9606.ENSP00000261819	0	0	0	0	0.131	0.990	0.900	0.875	0.999
ANAPC7	ANAPC10	1859796	1849254	9606.ENSP00000394394	9606.ENSP00000310071	0	0	0	0	0.129	0.994	0.900	0.860	0.999
MCM7	MCM2	1848945	1845676	9606.ENSP00000307288	9606.ENSP00000265056	0	0	0.342	0.795	0.966	0.989	0.900	0.875	0.999
ANAPC7	ANAPC2	1859796	1849673	9606.ENSP00000394394	9606.ENSP00000314004	0	0	0	0	0.102	0.994	0.900	0.259	0.999
CDC23	ANAPC5	1858243	1845000	9606.ENSP00000378350	9606.ENSP00000261819	0	0	0	0	0.263	0.997	0.900	0.901	0.999
RFC1	RFC3	1857450	1857148	9606.ENSP00000371321	9606.ENSP00000369411	0	0	0	0	0.121	0.989	0.900	0.686	0.999
CDC27	CDC20	1861977	1849070	9606.ENSP00000434614	9606.ENSP00000308450	0	0	0	0	0.079	0.975	0.900	0.897	0.999
ANAPC11	ANAPC2	1853521	1849673	9606.ENSP00000349957	9606.ENSP00000314004	0	0	0	0	0.054	0.989	0.900	0.582	0.999
NCOA2	AR	1860191	1856164	9606.ENSP00000399968	9606.ENSP00000363822	0	0	0	0	0	0.997	0.900	0.778	0.999
ANAPC11	ANAPC10	1853521	1849254	9606.ENSP00000349957	9606.ENSP00000310071	0	0	0	0	0.062	0.955	0.900	0.823	0.999
GBE1	PYGB	1860874	1842631	9606.ENSP00000410833	9606.ENSP00000216962	0.309	0	0	0	0.951	0.417	0.941	0.613	0.999
RPA1	MCM5	1844316	1842548	9606.ENSP00000254719	9606.ENSP00000216122	0	0	0	0	0.855	0.954	0.900	0.312	0.999
CDC27	ANAPC7	1861977	1859796	9606.ENSP00000434614	9606.ENSP00000394394	0	0	0	0.616	0.350	0.990	0.900	0.821	0.999
PKM	ENO1	1850212	1843405	9606.ENSP00000320171	9606.ENSP00000234590	0.309	0	0	0	0.971	0	0.941	0.710	0.999
IRS2	INSR	1856394	1848574	9606.ENSP00000365016	9606.ENSP00000303830	0	0	0	0	0	0.901	0.900	0.951	0.999
ANAPC10	BUB1B	1849254	1847075	9606.ENSP00000310071	9606.ENSP00000287598	0	0	0	0	0.166	0.997	0.900	0.297	0.999
POLA1	PRIM1	1856974	1853600	9606.ENSP00000368349	9606.ENSP00000350491	0	0	0	0	0.908	0.995	0.900	0.906	0.999
RPA2	RPA1	1856012	1844316	9606.ENSP00000363021	9606.ENSP00000254719	0	0	0	0	0.467	0.984	0.900	0.922	0.999
PCNA	MSH6	1856984	1843401	9606.ENSP00000368438	9606.ENSP00000234420	0	0	0	0	0.506	0.939	0.900	0.896	0.999
CDC27	ANAPC5	1861977	1845000	9606.ENSP00000434614	9606.ENSP00000261819	0	0	0	0	0.124	0.988	0.900	0.859	0.999
XPA	ERCC4	1856245	1849305	9606.ENSP00000364270	9606.ENSP00000310520	0	0	0	0	0.055	0.860	0.900	0.939	0.999
RFC3	PCNA	1857148	1856984	9606.ENSP00000369411	9606.ENSP00000368438	0.069	0	0	0	0.969	0.974	0.939	0.838	0.999
MCM2	MCM4	1845676	1845065	9606.ENSP00000265056	9606.ENSP00000262105	0	0	0.351	0.772	0.968	0.989	0.900	0.877	0.999
POLH	REV1	1855646	1844606	9606.ENSP00000361310	9606.ENSP00000258428	0	0	0	0.616	0.097	0.988	0.900	0.928	0.999
CDC20	CCNB1	1849070	1844435	9606.ENSP00000308450	9606.ENSP00000256442	0	0	0	0	0.880	0.921	0.900	0.847	0.999
CDK2	CDKN1A	1845906	1843736	9606.ENSP00000266970	9606.ENSP00000244741	0	0	0	0	0	0.804	0.900	0.960	0.999
ENO1	GAPDH	1843405	1843185	9606.ENSP00000234590	9606.ENSP00000229239	0.309	0	0	0	0.984	0.806	0.170	0.710	0.999
APAF1	BCL2L1	1862487	1848421	9606.ENSP00000448165	9606.ENSP00000302564	0	0	0	0	0.082	0.831	0.900	0.945	0.999
TLN1	VCL	1849837	1842472	9606.ENSP00000316029	9606.ENSP00000211998	0	0	0	0	0.062	0.993	0.900	0.796	0.999
MCM4	MCM5	1845065	1842548	9606.ENSP00000262105	9606.ENSP00000216122	0	0	0.209	0.803	0.970	0.989	0.900	0.932	0.999
PRKAA1	PRKAB1	1853021	1843198	9606.ENSP00000346148	9606.ENSP00000229328	0	0	0	0	0.073	0.946	0.900	0.832	0.999
CDC23	CDC20	1858243	1849070	9606.ENSP00000378350	9606.ENSP00000308450	0	0	0	0	0.066	0.988	0.900	0.801	0.999
GNB1	GNG2	1856899	1851723	9606.ENSP00000367869	9606.ENSP00000334448	0	0	0	0	0	0.997	0.900	0.872	0.999
RFC5	RFC1	1860712	1857450	9606.ENSP00000408295	9606.ENSP00000371321	0	0	0	0.638	0.195	0.989	0.900	0.770	0.999
PTTG1	CDC20	1852874	1849070	9606.ENSP00000344936	9606.ENSP00000308450	0	0	0	0	0.860	0.774	0.900	0.866	0.999
PLAU	PLAUR	1855748	1852201	9606.ENSP00000361850	9606.ENSP00000339328	0	0	0	0	0.228	0.874	0.900	0.942	0.999
CDK1	CCNB1	1858283	1844435	9606.ENSP00000378699	9606.ENSP00000256442	0	0	0	0	0.982	0.991	0.900	0.970	0.999
FOXO1	AKT1	1857055	1846136	9606.ENSP00000368880	9606.ENSP00000270202	0	0	0	0	0	0.861	0.900	0.956	0.999
TCEB1	VHL	1846927	1844441	9606.ENSP00000284811	9606.ENSP00000256474	0	0	0	0	0.049	0.946	0.900	0.875	0.999
ANAPC7	ANAPC4	1859796	1850076	9606.ENSP00000394394	9606.ENSP00000318775	0	0	0	0	0.215	0.994	0.900	0.581	0.999
RFC1	PCNA	1857450	1856984	9606.ENSP00000371321	9606.ENSP00000368438	0	0	0	0	0.060	0.965	0.900	0.831	0.999
MTOR	EIF4EBP1	1854147	1852358	9606.ENSP00000354558	9606.ENSP00000340691	0	0	0	0	0	0.654	0.900	0.978	0.999
MCM2	MCM3	1845676	1843226	9606.ENSP00000265056	9606.ENSP00000229854	0	0	0.221	0.759	0.967	0.989	0.900	0.887	0.999
POLA1	MCM2	1856974	1845676	9606.ENSP00000368349	9606.ENSP00000265056	0	0	0	0	0.956	0.436	0.900	0.699	0.999
ANAPC2	BUB1B	1849673	1847075	9606.ENSP00000314004	9606.ENSP00000287598	0	0	0	0	0.055	0.991	0.900	0.052	0.999
CHEK2	ATM	1857546	1846577	9606.ENSP00000372023	9606.ENSP00000278616	0	0	0	0	0.055	0.514	0.900	0.981	0.999
FGG	FGA	1851932	1848835	9606.ENSP00000336829	9606.ENSP00000306361	0	0	0	0.784	0.953	0.992	0.900	0.865	0.999
PGK1	TPI1	1855883	1843191	9606.ENSP00000362413	9606.ENSP00000229270	0.309	0.557	0.253	0	0.960	0.774	0.404	0.743	0.999
ANAPC1	ANAPC4	1852174	1850076	9606.ENSP00000339109	9606.ENSP00000318775	0	0	0	0	0.248	0.989	0.900	0.545	0.999
MSH3	MSH2	1845686	1843341	9606.ENSP00000265081	9606.ENSP00000233146	0	0	0.523	0.681	0.525	0.992	0.900	0.970	0.999
CTNNB1	APC	1852818	1844508	9606.ENSP00000344456	9606.ENSP00000257430	0	0	0	0	0.054	0.960	0.900	0.777	0.999
PCNA	MSH3	1856984	1845686	9606.ENSP00000368438	9606.ENSP00000265081	0	0	0	0	0.180	0.931	0.900	0.861	0.999
ANAPC4	MAD2L1	1850076	1847745	9606.ENSP00000318775	9606.ENSP00000296509	0	0	0	0	0.059	0.997	0.900	0.070	0.999
ENO3	PKM	1850612	1850212	9606.ENSP00000324105	9606.ENSP00000320171	0.309	0	0	0	0.952	0.503	0.941	0.660	0.999
GPI	TPI1	1860535	1843191	9606.ENSP00000405573	9606.ENSP00000229270	0.068	0	0	0	0.960	0.503	0.800	0.823	0.999
RFC3	RFC2	1857148	1842227	9606.ENSP00000369411	9606.ENSP00000055077	0	0	0	0.704	0.793	0.989	0.900	0.920	0.999
BCL2L11	BCL2L1	1858084	1848421	9606.ENSP00000376943	9606.ENSP00000302564	0	0	0	0	0	0.984	0.900	0.917	0.999
MTOR	RICTOR	1854147	1853522	9606.ENSP00000354558	9606.ENSP00000349959	0	0	0	0	0.110	0.903	0.900	0.957	0.999
CDC27	ANAPC10	1861977	1849254	9606.ENSP00000434614	9606.ENSP00000310071	0	0	0	0	0.181	0.997	0.900	0.907	0.999
EPO	EPOR	1844154	1842887	9606.ENSP00000252723	9606.ENSP00000222139	0	0	0	0	0	0.866	0.900	0.942	0.999
PCNA	POLH	1856984	1855646	9606.ENSP00000368438	9606.ENSP00000361310	0	0	0	0	0.126	0.993	0.900	0.848	0.999
CDC16	ANAPC4	1853313	1850076	9606.ENSP00000348554	9606.ENSP00000318775	0	0	0	0	0.233	0.997	0.900	0.861	0.999
ANAPC2	ANAPC5	1849673	1845000	9606.ENSP00000314004	9606.ENSP00000261819	0	0	0	0	0.185	0.997	0.900	0.740	0.999
JUN	MAPK8	1855436	1853988	9606.ENSP00000360266	9606.ENSP00000353483	0	0	0	0	0	0.662	0.900	0.988	0.999
FOSL2	JUND	1845606	1844164	9606.ENSP00000264716	9606.ENSP00000252818	0	0	0	0	0.122	0.907	0.900	0.914	0.999
VEGFA	KDR	1855611	1845437	9606.ENSP00000361125	9606.ENSP00000263923	0	0	0	0	0	0.717	0.900	0.978	0.999
CDC27	ANAPC4	1861977	1850076	9606.ENSP00000434614	9606.ENSP00000318775	0	0	0	0	0.166	0.997	0.900	0.844	0.999
CTNNB1	AXIN1	1852818	1845118	9606.ENSP00000344456	9606.ENSP00000262320	0	0	0	0	0.072	0.921	0.900	0.955	0.999
MCM4	MCM3	1845065	1843226	9606.ENSP00000262105	9606.ENSP00000229854	0	0	0.229	0.747	0.964	0.988	0.900	0.943	0.999
PKM	ENO2	1850212	1843192	9606.ENSP00000320171	9606.ENSP00000229277	0.309	0	0	0	0.954	0	0.941	0.591	0.999
MCM2	CDC6	1845676	1842453	9606.ENSP00000265056	9606.ENSP00000209728	0	0	0	0	0.582	0.957	0.900	0.923	0.999
RFC1	RFC2	1857450	1842227	9606.ENSP00000371321	9606.ENSP00000055077	0	0	0	0.629	0.154	0.989	0.900	0.872	0.999
PCNA	MSH2	1856984	1843341	9606.ENSP00000368438	9606.ENSP00000233146	0	0	0	0	0.631	0.867	0.900	0.856	0.999
PTK2	PXN	1852426	1843137	9606.ENSP00000341189	9606.ENSP00000228307	0	0	0	0	0	0.972	0.900	0.967	0.999
MAD2L1	BUB1B	1847745	1847075	9606.ENSP00000296509	9606.ENSP00000287598	0	0	0	0	0.848	0.997	0.900	0.845	0.999
CDK2	MCM5	1845906	1842548	9606.ENSP00000266970	9606.ENSP00000216122	0	0	0	0	0.957	0.636	0.900	0.593	0.999
CDC23	ANAPC2	1858243	1849673	9606.ENSP00000378350	9606.ENSP00000314004	0	0	0	0	0.150	0.997	0.900	0.847	0.999
RFC5	RFC2	1860712	1842227	9606.ENSP00000408295	9606.ENSP00000055077	0	0	0.384	0.883	0.810	0.989	0.900	0.870	0.999
CDC20	MAD2L1	1849070	1847745	9606.ENSP00000308450	9606.ENSP00000296509	0	0	0	0	0.842	0.996	0.900	0.837	0.999
RFC5	RFC3	1860712	1857148	9606.ENSP00000408295	9606.ENSP00000369411	0	0	0	0.717	0.883	0.987	0.900	0.927	0.999
IKBKB	IKBKG	1861846	1855067	9606.ENSP00000430684	9606.ENSP00000358622	0	0	0	0	0.045	0.956	0.900	0.786	0.999
FZR1	ANAPC2	1858270	1849673	9606.ENSP00000378529	9606.ENSP00000314004	0	0	0	0	0.063	0.976	0.900	0.884	0.999
XRCC6	PRKDC	1853821	1849621	9606.ENSP00000352257	9606.ENSP00000313420	0	0	0	0	0.079	0.827	0.900	0.952	0.999
MSH6	MSH2	1843401	1843341	9606.ENSP00000234420	9606.ENSP00000233146	0	0	0.515	0.681	0.794	0.992	0.900	0.988	0.999
